"date","cases","deaths","cases_all","deaths_all"
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,2,0,2,0
2020-01-29,2,0,4,0
2020-01-30,0,0,4,0
2020-01-31,4,0,8,0
2020-02-01,0,0,8,0
2020-02-02,0,0,8,0
2020-02-03,1,0,9,0
2020-02-04,5,0,14,0
2020-02-05,0,0,14,0
2020-02-06,1,0,15,0
2020-02-07,1,0,16,0
2020-02-08,0,0,16,0
2020-02-09,0,0,16,0
2020-02-10,0,0,16,0
2020-02-11,2,0,18,0
2020-02-12,1,0,19,0
2020-02-13,0,0,19,0
2020-02-14,0,0,19,0
2020-02-15,0,0,19,0
2020-02-16,1,0,20,0
2020-02-17,0,0,20,0
2020-02-18,0,0,20,0
2020-02-19,0,0,20,0
2020-02-20,1,0,21,0
2020-02-21,0,0,21,0
2020-02-22,1,0,22,0
2020-02-23,3,0,25,0
2020-02-24,2,0,27,0
2020-02-25,2,0,29,0
2020-02-26,9,0,38,0
2020-02-27,22,0,60,0
2020-02-28,46,0,106,0
2020-02-29,20,0,126,0
2020-03-01,36,0,162,0
2020-03-02,42,0,204,0
2020-03-03,79,0,283,0
2020-03-04,154,2,437,2
2020-03-05,184,1,621,3
2020-03-06,181,4,802,7
2020-03-07,135,4,937,11
2020-03-08,97,0,1034,11
2020-03-09,342,5,1376,16
2020-03-10,582,4,1958,20
2020-03-11,740,7,2698,27
2020-03-12,977,11,3675,38
2020-03-13,1423,13,5098,51
2020-03-14,1275,18,6373,69
2020-03-15,949,12,7322,81
2020-03-16,2023,29,9345,110
2020-03-17,3011,38,12356,148
2020-03-18,3521,56,15877,204
2020-03-19,3989,52,19866,256
2020-03-20,4041,89,23907,345
2020-03-21,3278,83,27185,428
2020-03-22,2299,67,29484,495
2020-03-23,3675,102,33159,597
2020-03-24,4773,138,37932,735
2020-03-25,5608,160,43540,895
2020-03-26,5793,214,49333,1109
2020-03-27,6078,234,55411,1343
2020-03-28,4774,207,60185,1550
2020-03-29,3084,126,63269,1676
2020-03-30,4067,207,67336,1883
2020-03-31,5957,270,73293,2153
2020-04-01,6246,290,79539,2443
2020-04-02,6539,303,86078,2746
2020-04-03,6266,252,92344,2998
2020-04-04,4249,160,96593,3158
2020-04-05,2517,119,99110,3277
2020-04-06,3677,196,102787,3473
2020-04-07,5122,186,107909,3659
2020-04-08,5268,209,113177,3868
2020-04-09,4891,168,118068,4036
2020-04-10,3303,82,121371,4118
2020-04-11,2928,79,124299,4197
2020-04-12,1825,62,126124,4259
2020-04-13,1593,72,127717,4331
2020-04-14,2399,82,130116,4413
2020-04-15,3241,65,133357,4478
2020-04-16,3354,57,136711,4535
2020-04-17,2966,35,139677,4570
2020-04-18,1911,12,141588,4582
2020-04-19,1272,12,142860,4594
2020-04-20,597,4,143457,4598
